1, throttle, 4, 16:04:39.305
2, throttle, 4, 16:04:49.591
3, throttle, 4, 16:19:57.281
4, throttle, 4, 16:04:39.665
5, throttle, 4, 16:19:57.281
6, throttle, 4, 16:04:51.509
7, throttle, 4, 16:04:54.465
8, throttle, 4, 16:19:57.281
9, throttle, 4, 16:04:53.450
10, throttle, 4, 16:19:57.281
11, throttle, 4, 16:19:57.281
12, throttle, 4, 16:19:57.281
13, throttle, 4, 16:19:57.281
14, throttle, 4, 16:19:57.281
15, throttle, 4, 16:19:57.281
16, throttle, 4, 16:19:57.281
17, throttle, 4, 16:19:57.281
18, throttle, 4, 16:19:57.281
19, throttle, 4, 16:19:57.281
20, throttle, 4, 16:19:57.281
21, throttle, 4, 16:19:57.281
22, throttle, 4, 16:19:57.281
23, throttle, 4, 16:19:57.281
24, throttle, 4, 16:19:57.281
25, throttle, 4, 16:19:57.281
26, throttle, 4, 16:19:57.281
27, throttle, -1, -1
28, throttle, -1, -1
29, throttle, -1, -1
30, throttle, -1, -1
31, throttle, -1, -1
32, throttle, -1, -1
33, throttle, -1, -1
34, throttle, -1, -1
35, throttle, -1, -1
36, throttle, -1, -1
37, throttle, -1, -1
38, throttle, -1, -1
39, throttle, -1, -1
40, throttle, -1, -1
41, throttle, -1, -1
42, throttle, -1, -1
43, throttle, -1, -1
44, throttle, -1, -1
45, throttle, -1, -1
46, throttle, -1, -1
47, throttle, -1, -1
48, throttle, -1, -1
49, throttle, -1, -1
50, throttle, -1, -1
51, throttle, -1, -1
52, throttle, -1, -1
53, throttle, -1, -1
54, throttle, -1, -1
55, throttle, -1, -1
56, throttle, -1, -1
57, throttle, -1, -1
58, throttle, -1, -1
59, throttle, -1, -1
60, throttle, -1, -1
1, rpm, 0, 16:04:49.591
2, rpm, 0, 16:04:54.465
3, rpm, 0, 16:04:39.305
4, rpm, 0, 16:04:39.665
5, rpm, 0, 16:04:53.450
6, rpm, 0, 16:04:51.509
7, rpm, 0, 16:19:57.281
8, rpm, 0, 16:19:57.281
9, rpm, 0, 16:19:57.281
10, rpm, 0, 16:19:57.281
11, rpm, 0, 16:19:57.281
12, rpm, 0, 16:19:57.281
13, rpm, 0, 16:19:57.281
14, rpm, 0, 16:19:57.281
15, rpm, 0, 16:19:57.281
16, rpm, 0, 16:19:57.281
17, rpm, 0, 16:19:57.281
18, rpm, 0, 16:19:57.281
19, rpm, 0, 16:19:57.281
20, rpm, 0, 16:19:57.281
21, rpm, 0, 16:19:57.281
22, rpm, 0, 16:19:57.281
23, rpm, 0, 16:19:57.281
24, rpm, 0, 16:19:57.281
25, rpm, 0, 16:19:57.281
26, rpm, 0, 16:19:57.281
27, rpm, -1, -1
28, rpm, -1, -1
29, rpm, -1, -1
30, rpm, -1, -1
31, rpm, -1, -1
32, rpm, -1, -1
33, rpm, -1, -1
34, rpm, -1, -1
35, rpm, -1, -1
36, rpm, -1, -1
37, rpm, -1, -1
38, rpm, -1, -1
39, rpm, -1, -1
40, rpm, -1, -1
41, rpm, -1, -1
42, rpm, -1, -1
43, rpm, -1, -1
44, rpm, -1, -1
45, rpm, -1, -1
46, rpm, -1, -1
47, rpm, -1, -1
48, rpm, -1, -1
49, rpm, -1, -1
50, rpm, -1, -1
51, rpm, -1, -1
52, rpm, -1, -1
53, rpm, -1, -1
54, rpm, -1, -1
55, rpm, -1, -1
56, rpm, -1, -1
57, rpm, -1, -1
58, rpm, -1, -1
59, rpm, -1, -1
60, rpm, -1, -1
1, current, 5.0, 16:04:39.665
2, current, 5.0, 16:04:39.305
3, current, 5.0, 16:19:57.281
4, current, 5.0, 16:19:57.281
5, current, 5.0, 16:19:57.281
6, current, 5.0, 16:04:49.591
7, current, 5.0, 16:04:51.509
8, current, 5.0, 16:19:57.281
9, current, 5.0, 16:04:53.450
10, current, 5.0, 16:04:54.465
11, current, 5.0, 16:19:57.281
12, current, 5.0, 16:19:57.281
13, current, 5.0, 16:19:57.281
14, current, 5.0, 16:19:57.281
15, current, 5.0, 16:19:57.281
16, current, 5.0, 16:19:57.281
17, current, 5.0, 16:19:57.281
18, current, 5.0, 16:19:57.281
19, current, 5.0, 16:19:57.281
20, current, 5.0, 16:19:57.281
21, current, 5.0, 16:19:57.281
22, current, 5.0, 16:19:57.281
23, current, 5.0, 16:19:57.281
24, current, 5.0, 16:19:57.281
25, current, 5.0, 16:19:57.281
26, current, 5.0, 16:19:57.281
27, current, -1, -1
28, current, -1, -1
29, current, -1, -1
30, current, -1, -1
31, current, -1, -1
32, current, -1, -1
33, current, -1, -1
34, current, -1, -1
35, current, -1, -1
36, current, -1, -1
37, current, -1, -1
38, current, -1, -1
39, current, -1, -1
40, current, -1, -1
41, current, -1, -1
42, current, -1, -1
43, current, -1, -1
44, current, -1, -1
45, current, -1, -1
46, current, -1, -1
47, current, -1, -1
48, current, -1, -1
49, current, -1, -1
50, current, -1, -1
51, current, -1, -1
52, current, -1, -1
53, current, -1, -1
54, current, -1, -1
55, current, -1, -1
56, current, -1, -1
57, current, -1, -1
58, current, -1, -1
1, votlage, 0.0, 16:04:39.665
2, votlage, 0.07, 16:04:39.305
3, votlage, 0.0, 16:04:49.591
4, votlage, 0.0, 16:19:57.281
5, votlage, 0.07, 16:04:53.450
6, votlage, 0.0, 16:04:51.509
7, votlage, 0.0, 16:04:54.465
8, votlage, 0.0, 16:19:57.281
9, votlage, 0.0, 16:19:57.281
10, votlage, 0.0, 16:19:57.281
11, votlage, 0.0, 16:19:57.281
12, votlage, 0.0, 16:19:57.281
13, votlage, 0.0, 16:19:57.281
14, votlage, 0.0, 16:19:57.281
15, votlage, 0.0, 16:19:57.281
16, votlage, 0.0, 16:19:57.281
17, votlage, 0.0, 16:19:57.281
18, votlage, 0.0, 16:19:57.281
19, votlage, 0.0, 16:19:57.281
20, votlage, 0.0, 16:19:57.281
21, votlage, 0.0, 16:19:57.281
22, votlage, 0.0, 16:19:57.281
23, votlage, 0.0, 16:19:57.281
24, votlage, 0.0, 16:19:57.281
25, votlage, 0.0, 16:19:57.281
26, votlage, -1, -1
27, votlage, -1, -1
28, votlage, -1, -1
29, votlage, -1, -1
30, votlage, -1, -1
31, votlage, -1, -1
32, votlage, -1, -1
33, votlage, -1, -1
34, votlage, -1, -1
35, votlage, -1, -1
36, votlage, -1, -1
37, votlage, -1, -1
38, votlage, -1, -1
39, votlage, -1, -1
40, votlage, -1, -1
41, votlage, -1, -1
42, votlage, -1, -1
43, votlage, -1, -1
44, votlage, -1, -1
45, votlage, -1, -1
46, votlage, -1, -1
47, votlage, -1, -1
48, votlage, -1, -1
49, votlage, -1, -1
50, votlage, -1, -1
51, votlage, -1, -1
52, votlage, -1, -1
53, votlage, -1, -1
54, votlage, -1, -1
55, votlage, -1, -1
56, votlage, -1, -1
57, votlage, -1, -1
